"","rec_id","sensor_id","study_site"
"1",249,"0","Polana Caniço"
"2",595,"2","Polana Caniço"
"3",1026,"0","Polana Caniço"
"4",1111,NA,"Polana Caniço"
"5",1512,"0","Polana Caniço"
"6",1515,NA,"Polana Caniço"
"7",1516,NA,"Polana Caniço"
"8",1518,"0","Polana Caniço"
"9",1603,"0","Polana Caniço"
"10",1721,"0","Polana Caniço"
"11",5814,"0","Polana Caniço"
"12",596,"2","Polana Caniço"
"13",597,"2","Polana Caniço"
"14",598,"2","Polana Caniço"
"15",737,"2","Polana Caniço"
"16",738,"2","Polana Caniço"
"17",739,"2","Polana Caniço"
"18",1109,NA,"Polana Caniço"
"19",1110,NA,"Polana Caniço"
"20",1121,NA,"Polana Caniço"
"21",1140,"0","Polana Caniço"
"22",1188,NA,"Polana Caniço"
"23",1191,NA,"Polana Caniço"
"24",1314,NA,"Polana Caniço"
"25",1315,NA,"Polana Caniço"
"26",1380,"0","Polana Caniço"
"27",1450,"0","Polana Caniço"
"28",1493,NA,"Polana Caniço"
"29",1494,NA,"Polana Caniço"
"30",1495,NA,"Polana Caniço"
"31",1509,NA,"Polana Caniço"
"32",1510,NA,"Polana Caniço"
"33",1511,NA,"Polana Caniço"
"34",1513,"0","Polana Caniço"
"35",1514,NA,"Polana Caniço"
"36",1517,NA,"Polana Caniço"
"37",1521,"0","Polana Caniço"
"38",1522,NA,"Polana Caniço"
"39",1525,"0","Polana Caniço"
"40",1566,NA,"Polana Caniço"
"41",1601,"0","Polana Caniço"
"42",1602,"0","Polana Caniço"
"43",1612,NA,"Polana Caniço"
"44",1631,NA,"Polana Caniço"
"45",1655,"0","Polana Caniço"
"46",1719,"0","Polana Caniço"
"47",1720,"0","Polana Caniço"
"48",1722,"0","Polana Caniço"
"49",1724,"0","Polana Caniço"
"50",1725,"0","Polana Caniço"
"51",1741,NA,"Polana Caniço"
"52",1744,"A","Polana Caniço"
"53",1859,NA,"Polana Caniço"
"54",1897,NA,"Polana Caniço"
"55",2228,"0","Polana Caniço"
"56",2253,"0","Polana Caniço"
