"","rec_id","sensor_id","study_site"
"1",433,"F029ABE0","Polana Caniço"
"2",503,"57B92915","Polana Caniço"
"3",504,"72A9B167","Polana Caniço"
"4",505,"0F0AC00E","Polana Caniço"
"5",617,"B093D42E","Polana Caniço"
"6",723,"6375E09A","Polana Caniço"
"7",1037,"2F66CF32","Polana Caniço"
"8",1038,"D5207DD4","Polana Caniço"
"9",1119,"D0130626","Polana Caniço"
"10",1145,"E2C58AE4","Polana Caniço"
"11",1183,"565F06C9","Polana Caniço"
"12",1202,"6CECD070","Polana Caniço"
"13",1260,"775F3576","Polana Caniço"
"14",1285,"01964B1A","Polana Caniço"
"15",1305,"950CC02A","Polana Caniço"
"16",1347,"1C4E9633","Polana Caniço"
"17",1367,"0249F49D","Polana Caniço"
"18",1382,"73A0D657","Polana Caniço"
"19",1387,"05A700AC","Polana Caniço"
"20",1390,"B287D42A","Polana Caniço"
"21",1452,"FDF97280","Polana Caniço"
"22",1487,"ADC6D682","Polana Caniço"
"23",1502,"6579D37C","Polana Caniço"
"24",1527,"6373E09A","Polana Caniço"
"25",1528,"E290C8BD","Polana Caniço"
"26",1615,"63137977","Polana Caniço"
"27",1617,"335C4283","Polana Caniço"
"28",1620,"7DF19AC4","Polana Caniço"
"29",1626,"7AEECBB1","Polana Caniço"
"30",1638,"0746B936","Polana Caniço"
"31",1658,"98EB9A65","Polana Caniço"
"32",1727,"5DA335CD","Polana Caniço"
"33",1739,"A44C5E76","Polana Caniço"
"34",1782,"B6514945","Polana Caniço"
"35",2259,"73AOD657","Polana Caniço"
"36",5800,"7FDE60EB","Polana Caniço"
"37",5801,"7ADEB947","Polana Caniço"
"38",432,"90CBF595","Polana Caniço"
"39",435,"0DD5BD3F","Polana Caniço"
"40",455,"48DDBBF4","Polana Caniço"
"41",457,"7705947E","Polana Caniço"
"42",458,"E691CC38","Polana Caniço"
"43",507,"FC5ABD81","Polana Caniço"
"44",508,"71C626ED","Polana Caniço"
"45",509,"79DFDC16","Polana Caniço"
"46",510,"93EF89E6","Polana Caniço"
"47",511,"6D72292C","Polana Caniço"
"48",578,"041802E2","Polana Caniço"
"49",579,"BFAAAFE9","Polana Caniço"
"50",580,"7201E52B","Polana Caniço"
"51",612,"F75B23E1","Polana Caniço"
"52",613,"CF152F0F","Polana Caniço"
"53",614,"6F673A12","Polana Caniço"
"54",616,"993564AB","Polana Caniço"
"55",661,"FC1DE353","Polana Caniço"
"56",663,"EDC58AE4","Polana Caniço"
"57",709,"5BAC9680","Polana Caniço"
"58",724,"3C114B9E","Polana Caniço"
"59",726,"D6CFBE70","Polana Caniço"
"60",731,"D2495E9F","Polana Caniço"
"61",732,"1B6E7DC6","Polana Caniço"
"62",733,"3F3453F3","Polana Caniço"
"63",745,"567140F0","Polana Caniço"
"64",746,"612540B1","Polana Caniço"
"65",748,"C179A589","Polana Caniço"
"66",773,"B648ADEB","Polana Caniço"
"67",774,"6A9FB5EB","Polana Caniço"
"68",806,"1BF0AB62","Polana Caniço"
"69",808,"59FA6AFD","Polana Caniço"
"70",810,"A26CC63","Polana Caniço"
"71",812,"E8286A9D","Polana Caniço"
"72",899,"99FF6D3B","Polana Caniço"
"73",901,"D4D84F97","Polana Caniço"
"74",902,"272EBC2B","Polana Caniço"
"75",903,"A498A0A5","Polana Caniço"
"76",904,"F554A006","Polana Caniço"
"77",905,"B0834C7E","Polana Caniço"
"78",906,"6B592F7D","Polana Caniço"
"79",908,"E7317FFF","Polana Caniço"
"80",909,"DFB00C63","Polana Caniço"
"81",910,"9BC8EB99","Polana Caniço"
"82",965,"612514B1","Polana Caniço"
"83",966,"93GF89E6","Polana Caniço"
"84",967,"B648ADGB","Polana Caniço"
"85",969,"077075CE","Polana Caniço"
"86",972,"7201G52B","Polana Caniço"
"87",976,"E2C584E4","Polana Caniço"
"88",980,"565706C9","Polana Caniço"
"89",1018,"BB211C8C","Polana Caniço"
"90",1030,"8D46A482","Polana Caniço"
"91",1031,"C5410CE6","Polana Caniço"
"92",1033,"BD848166","Polana Caniço"
"93",1034,"595D34C5","Polana Caniço"
"94",1036,"98ED9A65","Polana Caniço"
"95",1117,"45B9CEA9","Polana Caniço"
"96",1126,"EC52843D","Polana Caniço"
"97",1129,"F58E44EB","Polana Caniço"
"98",1130,"777F3576","Polana Caniço"
"99",1184,"93EF89E9","Polana Caniço"
"100",1195,"6BDA8DED","Polana Caniço"
"101",1250,"126DCF62","Polana Caniço"
"102",1257,"A264CC63","Polana Caniço"
"103",1278,"BO93D42E","Polana Caniço"
"104",1343,"77DE60EB","Polana Caniço"
"105",1369,"D4D84F9F","Polana Caniço"
"106",1381,"68CF2EA5","Polana Caniço"
"107",1486,"FQ29ABE0","Polana Caniço"
"108",1686,"F7C6FA98","Polana Caniço"
"109",1738,"B287D421","Polana Caniço"
"110",2230,"7029ABE0","Polana Caniço"
"111",2256,"3C114B9C","Polana Caniço"
